DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,FI,2017,1.49,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,FI,2018,1.41,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,FI,2019,1.35,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,FI,2020,1.37,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,FR,2009,2.00,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,FR,2010,2.03,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,FR,2011,2.01,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,FR,2012,2.01,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,FR,2013,1.99,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,FR,2014,2.00,b
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,FR,2015,1.96,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,FR,2016,1.92,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,FR,2017,1.89,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,FR,2018,1.87,p
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,FR,2019,1.86,p
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,FR,2020,1.83,p
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,HR,2009,1.58,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,HR,2010,1.55,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,HR,2011,1.48,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,HR,2012,1.51,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,HR,2013,1.46,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,HR,2014,1.46,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,HR,2015,1.40,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,HR,2016,1.42,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,HR,2017,1.42,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,HR,2018,1.47,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,HR,2019,1.47,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,HR,2020,1.48,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,HU,2009,1.32,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,HU,2010,1.25,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,HU,2011,1.23,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,HU,2012,1.34,b
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,HU,2013,1.35,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,HU,2014,1.44,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,HU,2015,1.45,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,HU,2016,1.53,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,HU,2017,1.54,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,HU,2018,1.55,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,HU,2019,1.55,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,HU,2020,1.59,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,IE,2009,2.06,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,IE,2010,2.05,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,IE,2011,2.03,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,IE,2012,1.98,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,IE,2013,1.93,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,IE,2014,1.89,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,IE,2015,1.85,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,IE,2016,1.81,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,IE,2017,1.77,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,IE,2018,1.75,e
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,IE,2019,1.71,e
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,IE,2020,1.63,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,IS,2009,2.23,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,IS,2010,2.20,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,IS,2011,2.02,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,IS,2012,2.04,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,IS,2013,1.93,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,IS,2014,1.93,
