DATAFLOW,LAST UPDATE,freq,age,sex,indic_il,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,IE,2016,22544,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,IE,2017,22879,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,IE,2018,24920,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,IE,2019,25528,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,IE,2020,26656,b
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,IE,2021,28130,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,IS,2012,19361,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,IS,2013,21234,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,IS,2014,22487,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,IS,2015,24554,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,IS,2016,28393,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,IS,2017,33874,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,IS,2018,39918,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,IT,2012,15979,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,IT,2013,15733,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,IT,2014,15759,
