DATAFLOW,LAST UPDATE,freq,spdep,spscheme,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SPR_EXP_FFA$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,ES,2011,227.49,
ESTAT:SPR_EXP_FFA$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,ES,2012,206.29,
ESTAT:SPR_EXP_FFA$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,ES,2013,208.67,
ESTAT:SPR_EXP_FFA$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,ES,2014,212.31,
ESTAT:SPR_EXP_FFA$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,ES,2015,221.20,
ESTAT:SPR_EXP_FFA$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,ES,2016,218.60,p
ESTAT:SPR_EXP_FFA$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,ES,2017,224.32,p
ESTAT:SPR_EXP_FFA$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,ES,2018,231.95,p
ESTAT:SPR_EXP_FFA$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,ES,2019,245.05,p
ESTAT:SPR_EXP_FFA$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,EU15,2010,502.86,
ESTAT:SPR_EXP_FFA$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,EU15,2011,494.05,
ESTAT:SPR_EXP_FFA$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,EU15,2012,488.45,
ESTAT:SPR_EXP_FFA$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,EU15,2013,480.94,
ESTAT:SPR_EXP_FFA$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,EU15,2014,483.12,
ESTAT:SPR_EXP_FFA$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,EU15,2015,489.24,
ESTAT:SPR_EXP_FFA$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,EU15,2016,495.60,p
ESTAT:SPR_EXP_FFA$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,EU15,2017,497.53,p
ESTAT:SPR_EXP_FFA$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,EU15,2018,500.71,p
