DATAFLOW,LAST UPDATE,freq,unit,age,citizen,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,EEA31,2017,808629,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,EEA31,2018,811966,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,EFTA,2011,41356,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,EFTA,2012,42655,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,EFTA,2013,43754,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,EFTA,2014,45805,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,EFTA,2015,46947,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,EFTA,2016,48465,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,EFTA,2017,48393,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,EFTA,2018,48051,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,EFTA,2019,47076,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,EFTA,2020,45783,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,EL,2011,19002,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,EL,2012,15520,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,EL,2013,13194,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,EL,2014,12173,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,EL,2015,11930,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,EL,2016,12724,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,EL,2017,12371,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,EL,2018,12313,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,EL,2019,12055,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,EL,2020,12514,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,ES,2011,90857,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,ES,2012,86386,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,ES,2013,78067,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,ES,2014,75027,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,ES,2015,73733,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,ES,2016,74383,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,ES,2017,74407,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,ES,2018,75719,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,ES,2019,78877,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,ES,2020,76587,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,EU27_2007,2013,693131,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,EU27_2007,2014,719152,e
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,EU27_2007,2015,742125,e
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,EU27_2007,2016,792656,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,EU27_2007,2017,794726,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,EU27_2007,2018,798527,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,EU27_2020,2013,560599,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,EU27_2020,2014,583682,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,EU27_2020,2015,602647,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,EU27_2020,2016,649997,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,EU27_2020,2017,654470,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,EU27_2020,2018,663253,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,EU27_2020,2019,672584,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,EU27_2020,2020,659121,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,EU28,2013,693658,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,EU28,2014,719790,e
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,EU28,2015,742720,e
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,EU28,2016,793251,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,EU28,2017,795326,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,EU28,2018,798934,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,FI,2011,3889,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,FI,2012,4141,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,FI,2013,4308,
